"address_detail_pid","addr_lat","addr_lon","id","hosp_lat","hosp_lon"
GANSW703874688,-33.87109486,150.86265409,fh228,-34.03729,151.11516
GANSW703874688,-33.87109486,150.86265409,fh49,-34.077652,150.80632
GANSW703874688,-33.87109486,150.86265409,fh25,-33.77555,150.91754
GANSW703877044,-33.73038336,150.91561775,fh49,-34.077652,150.80632
GANSW703877044,-33.73038336,150.91561775,fh228,-34.03729,151.11516
GANSW703877044,-33.73038336,150.91561775,fh25,-33.77555,150.91754
GANSW703887193,-34.08144223,150.83913866,fh49,-34.077652,150.80632
GANSW703887193,-34.08144223,150.83913866,fh228,-34.03729,151.11516
GANSW703887193,-34.08144223,150.83913866,fh25,-33.77555,150.91754
GANSW703899298,-33.7592835,151.24846443,fh228,-34.03729,151.11516
GANSW703899298,-33.7592835,151.24846443,fh92,-33.419453,151.34033
GANSW703899298,-33.7592835,151.24846443,fh25,-33.77555,150.91754
GANSW703918780,-34.08127084,150.79669735,fh49,-34.077652,150.80632
GANSW703918780,-34.08127084,150.79669735,fh228,-34.03729,151.11516
GANSW703918780,-34.08127084,150.79669735,fh25,-33.77555,150.91754
GANSW703937708,-33.89306815,151.13081954,fh228,-34.03729,151.11516
GANSW703937708,-33.89306815,151.13081954,fh49,-34.077652,150.80632
GANSW703937708,-33.89306815,151.13081954,fh25,-33.77555,150.91754
GANSW703959492,-33.86680229,151.02270873,fh25,-33.77555,150.91754
GANSW703959492,-33.86680229,151.02270873,fh228,-34.03729,151.11516
GANSW703959492,-33.86680229,151.02270873,fh49,-34.077652,150.80632
GANSW703960603,-33.85696981,151.02046272,fh49,-34.077652,150.80632
GANSW703960603,-33.85696981,151.02046272,fh25,-33.77555,150.91754
GANSW703960603,-33.85696981,151.02046272,fh228,-34.03729,151.11516
GANSW703963271,-33.85958697,151.03081142,fh25,-33.77555,150.91754
GANSW703963271,-33.85958697,151.03081142,fh228,-34.03729,151.11516
GANSW703963271,-33.85958697,151.03081142,fh49,-34.077652,150.80632
GANSW703994996,-28.68664315,153.5183236,fh43,-28.637365,153.5559
GANSW703994996,-28.68664315,153.5183236,fh172,-28.59737,153.22319
GANSW703994996,-28.68664315,153.5183236,fh12,-28.863525,153.56401
GANSW704009879,-34.02588035,151.01132786,fh49,-34.077652,150.80632
GANSW704009879,-34.02588035,151.01132786,fh228,-34.03729,151.11516
GANSW704009879,-34.02588035,151.01132786,fh25,-33.77555,150.91754
GANSW704038710,-33.37858594,151.48163342,fh112,-33.701447,151.11295
GANSW704038710,-33.37858594,151.48163342,fh22,-33.02463,151.64818
GANSW704038710,-33.37858594,151.48163342,fh279,-33.261112,151.48076
GANSW704049182,-33.65617375,151.29528648,fh228,-34.03729,151.11516
GANSW704049182,-33.65617375,151.29528648,fh92,-33.419453,151.34033
GANSW704049182,-33.65617375,151.29528648,fh25,-33.77555,150.91754
GANSW704059570,-30.45701379,152.89349187,fh141,-30.713724,152.91985
GANSW704059570,-30.45701379,152.89349187,fh74,-30.340626,152.71388
GANSW704059570,-30.45701379,152.89349187,fh21,-30.457256,152.8932
GANSW704082464,-33.92858467,151.08912538,fh228,-34.03729,151.11516
GANSW704082464,-33.92858467,151.08912538,fh49,-34.077652,150.80632
GANSW704082464,-33.92858467,151.08912538,fh25,-33.77555,150.91754
GANSW704091896,-33.34586376,151.43795494,fh22,-33.02463,151.64818
GANSW704091896,-33.34586376,151.43795494,fh279,-33.261112,151.48076
GANSW704091896,-33.34586376,151.43795494,fh112,-33.701447,151.11295
GANSW704098599,-32.8000575,151.65299636,fh46,-32.899372,151.72086
GANSW704098599,-32.8000575,151.65299636,fh143,-32.726723,151.54588
GANSW704098599,-32.8000575,151.65299636,fh22,-33.02463,151.64818
GANSW704111022,-33.95275114,151.08159063,fh49,-34.077652,150.80632
GANSW704111022,-33.95275114,151.08159063,fh228,-34.03729,151.11516
GANSW704111022,-33.95275114,151.08159063,fh25,-33.77555,150.91754
GANSW704118445,-33.94893469,151.11403766,fh49,-34.077652,150.80632
GANSW704118445,-33.94893469,151.11403766,fh228,-34.03729,151.11516
GANSW704118445,-33.94893469,151.11403766,fh25,-33.77555,150.91754
GANSW704133564,-33.88956071,151.02145411,fh49,-34.077652,150.80632
GANSW704133564,-33.88956071,151.02145411,fh25,-33.77555,150.91754
GANSW704133564,-33.88956071,151.02145411,fh228,-34.03729,151.11516
GANSW704135659,-33.78651845,150.91449154,fh49,-34.077652,150.80632
GANSW704135659,-33.78651845,150.91449154,fh228,-34.03729,151.11516
GANSW704135659,-33.78651845,150.91449154,fh25,-33.77555,150.91754
GANSW704146387,-33.78627991,150.91607191,fh228,-34.03729,151.11516
GANSW704146387,-33.78627991,150.91607191,fh25,-33.77555,150.91754
GANSW704146387,-33.78627991,150.91607191,fh49,-34.077652,150.80632
GANSW704148934,-33.76562879,150.88899982,fh49,-34.077652,150.80632
GANSW704148934,-33.76562879,150.88899982,fh228,-34.03729,151.11516
GANSW704148934,-33.76562879,150.88899982,fh25,-33.77555,150.91754
GANSW704154765,-30.32735705,153.06143437,fh21,-30.457256,152.8932
GANSW704154765,-30.32735705,153.06143437,fh141,-30.713724,152.91985
GANSW704154765,-30.32735705,153.06143437,fh74,-30.340626,152.71388
GANSW704179453,-33.89034732,151.26865685,fh228,-34.03729,151.11516
GANSW704179453,-33.89034732,151.26865685,fh25,-33.77555,150.91754
GANSW704179453,-33.89034732,151.26865685,fh49,-34.077652,150.80632
GANSW704182755,-33.89243738,151.26953461,fh112,-33.701447,151.11295
GANSW704182755,-33.89243738,151.26953461,fh80,-33.86012,150.90434
GANSW704182755,-33.89243738,151.26953461,fh50,-33.919594,151.09828
GANSW704193704,-33.94386534,151.20399099,fh25,-33.77555,150.91754
GANSW704193704,-33.94386534,151.20399099,fh49,-34.077652,150.80632
GANSW704193704,-33.94386534,151.20399099,fh228,-34.03729,151.11516
GANSW704198962,-33.90282779,150.8869873,fh228,-34.03729,151.11516
GANSW704198962,-33.90282779,150.8869873,fh25,-33.77555,150.91754
GANSW704198962,-33.90282779,150.8869873,fh49,-34.077652,150.80632
GANSW704208590,-33.94830939,151.20601876,fh80,-33.86012,150.90434
GANSW704208590,-33.94830939,151.20601876,fh112,-33.701447,151.11295
GANSW704208590,-33.94830939,151.20601876,fh50,-33.919594,151.09828
GANSW704235362,-33.88467284,151.10194253,fh49,-34.077652,150.80632
GANSW704235362,-33.88467284,151.10194253,fh25,-33.77555,150.91754
GANSW704235362,-33.88467284,151.10194253,fh228,-34.03729,151.11516
